"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1736,"CNMD","Conmed Corp.","RUT","Healthcare","Medical Devices","USA",2005.34,20.69,13.24,1.41,1.58,2.27,69.46,12.61,28.61,0.94,0.80,1.23%,39.15%,3.14,0.99,15.64%,23.11%,7.64%,14.70%,8.21%,4.42%,123.13%,1271.70,98.59,7.68%,-0.69%,30.77,29.95,97.34%,2.86%,0.43%,114.41%,1.71%,8.48%,5.83,2.54,4.28%,11.86%,5.34%,2.34,1.13,1.09,1.10,51.88%,11.96%,7.75%,-0.01%,-0.04%,0.15%,-0.09%,0.16%,0.18%,0.30%,-0.59%,-0.65%,0.39%,1.66%,-13.23%,-11.62%,-16.03%,-30.34%,-40.60%,1.45,2.44,3.14%,3.45%,-6.25%,-7.23%,-15.38%,-16.81%,5.86%,-44.53%,6.54%,-59.12%,7882.80%,38.81,10/30/2024 4:30:00 PM,7/23/1987,Yes,Yes,4000,1.70%,-0.98%,1.88,435.50,0.41,90883,1157,82.00,64.59,63.96,65.63,63.96,65.04,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,"CNNE","Cannae Holdings Inc","RUT","Consumer Cyclical","Restaurants","USA",1177.44,,,,2.40,0.62,21.56,,30.43,0.87,0.36,1.92%,,-6.78,-0.22,13.88%,79.63%,,,-10.00%,-22.77%,-115.48%,491.60,-460.60,-1336.81%,5.36%,70.37,55.89,79.42%,10.92%,-0.81%,81.57%,-12.79%,2.62%,4.05,1.47,-17.65%,-20.50%,-21.77%,1.01,1.01,0.11,0.12,15.11%,-28.52%,-93.69%,0.00%,0.16%,0.11%,0.27%,0.16%,-0.11%,0.21%,0.59%,1.08%,0.62%,1.90%,-3.55%,-2.75%,-4.53%,2.91%,-3.79%,0.87,0.40,1.77%,2.00%,-0.40%,-1.91%,-5.35%,-6.38%,4.28%,-18.36%,17.83%,-59.70%,127.94%,48.25,8/8/2024 4:30:00 PM,6/23/2014,Yes,Yes,7741,0.21%,0.70%,1.00,361.97,3.13,574713,2854,27.00,18.60,18.73,18.83,18.49,18.77,0.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,"CNO","CNO Financial Group Inc","RUT","Financial","Insurance - Life","USA",3839.35,9.41,9.96,0.94,0.88,1.59,,6.80,22.80,,0.56,1.54%,24.56%,3.86,0.82,11.10%,6.16%,,10.00%,-0.31%,2.50%,67.02%,4373.10,432.20,46.16%,14.65%,109.36,102.80,94.00%,2.80%,-1.86%,96.65%,-1.09%,2.09%,2.76,2.15,1.38%,19.54%,6.22%,,,1.86,1.86,,18.50%,9.88%,0.00%,-0.04%,-0.03%,0.05%,0.02%,0.11%,0.36%,0.27%,0.78%,2.57%,6.32%,6.89%,20.51%,41.74%,53.35%,30.10%,1.03,0.72,1.67%,1.81%,4.39%,7.66%,24.42%,1.88%,19.09%,1.88%,63.00%,1.88%,13861.15%,66.20,7/29/2024 4:30:00 PM,9/11/2003,Yes,Yes,3500,2.57%,0.00%,2.71,778.59,0.36,142048,2196,34.67,35.39,35.39,36.32,35.40,36.30,2.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,"CNOB","ConnectOne Bancorp Inc.","RUT","Financial","Banks - Regional","USA",1038.14,14.78,11.90,1.48,1.97,0.93,,11.06,29.02,,0.70,2.61%,32.81%,1.83,0.44,-14.37%,28.26%,2.18%,10.00%,18.43%,7.73%,-10.45%,528.27,70.70,11.52%,2.15%,38.52,35.31,91.67%,7.97%,0.00%,67.75%,-1.36%,1.72%,2.92,0.61,0.79%,6.33%,4.81%,0.05,,0.20,0.69,,19.49%,13.38%,-0.01%,0.04%,0.02%,0.13%,0.24%,0.66%,1.03%,1.16%,2.16%,4.95%,9.94%,9.14%,19.24%,51.07%,56.39%,18.10%,1.24,0.78,2.71%,2.93%,7.96%,11.92%,27.80%,1.98%,34.74%,1.98%,86.46%,-26.88%,501.11%,69.11,10/24/2024 8:30:00 AM,6/4/1996,Yes,Yes,499,4.67%,0.27%,1.50,208.27,0.67,70430,1251,28.00,25.78,25.85,27.05,25.71,27.06,4.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,"CNP","Centerpoint Energy Inc.","S&P 500","Utilities","Utilities - Regulated Electric","USA",19620.03,18.63,17.36,2.42,2.29,1.87,35.10,,16.13,0.86,0.80,2.67%,56.23%,1.62,0.42,8.00%,7.03%,13.22%,7.70%,-2.29%,1.60%,112.06%,8567.00,1026.00,11.46%,0.96%,651.72,649.08,99.59%,0.41%,-0.21%,93.27%,5.15%,1.92%,1.77,12.49,2.66%,10.15%,3.55%,1.20,0.99,1.79,1.90,28.76%,22.43%,11.98%,0.02%,0.05%,0.05%,0.03%,0.03%,0.12%,-0.03%,-0.27%,-0.45%,0.58%,2.15%,6.72%,5.12%,10.60%,9.19%,5.37%,0.92,0.50,1.17%,1.59%,2.64%,8.05%,5.32%,-1.70%,18.48%,-4.63%,18.48%,-23.99%,804.44%,66.21,10/28/2024 8:30:00 AM,8/16/1943,Yes,Yes,12328,0.64%,0.45%,2.65,7047.72,0.23,832305,6590,29.86,29.78,29.92,30.26,29.88,30.10,1.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,"CNQ","Canadian Natural Resources Ltd.","-","Energy","Oil & Gas E&P","Canada",76264.66,13.81,13.46,3.45,2.81,2.65,114.05,9.91,13.56,0.32,1.57,4.37%,49.04%,2.60,0.69,-11.83%,6.08%,27.79%,4.00%,17.44%,12.60%,18.37%,27119.23,5661.66,8.74%,8.30%,2144.82,2031.79,94.73%,4.28%,0.00%,74.30%,-3.41%,2.50%,9.70,50.78,10.08%,19.51%,15.47%,0.88,0.59,0.27,0.30,32.05%,29.01%,20.88%,-0.04%,-0.01%,-0.08%,-0.13%,0.20%,0.21%,0.36%,-0.13%,0.42%,-0.11%,-1.18%,11.14%,0.73%,-7.15%,7.64%,9.68%,1.53,0.99,2.22%,2.39%,2.81%,3.01%,1.65%,-5.22%,13.49%,-12.98%,21.98%,-12.98%,2508.79%,54.69,8/1/2024 8:30:00 AM,7/31/2000,Yes,Yes,10272,0.14%,-3.05%,1.96,5233.84,0.75,2005733,9410,41.09,37.01,35.88,36.03,35.31,35.93,-2.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,"CNRG","SPDR S&P Kensho Clean Power ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.06,1.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.10%,0.31%,0.11%,-0.19%,-1.00%,-2.14%,-2.04%,-5.83%,7.11%,-4.59%,-14.13%,1.27,1.27,1.57%,1.67%,-3.59%,-0.32%,-2.13%,-7.31%,9.96%,-16.19%,9.96%,-58.93%,126.50%,43.74,,10/23/2018,No,Yes,,-0.77%,-0.67%,,9.57,0.58,2825,74,,62.50,62.08,62.02,61.41,61.60,-1.44%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Equities","Green Investing",,"Passive",0.45%,44,169215405,62.56,-0.02,-3179422.07,-1.84,-11205739.29,-6.21,-57277474.02,-25.29,-67875779.42,-28.63,-2.50,-12.27,11.57,,14.82,"U.S. equity energy clean-energy"
1743,"CNS","Cohen & Steers Inc.","RUT","Financial","Asset Management","USA",5006.27,38.75,28.82,20.40,10.39,10.81,41.03,31.15,9.16,2.41,2.36,2.38%,87.55%,2.56,0.74,1.75%,18.90%,1.62%,1.90%,6.54%,1.42%,-2.60%,482.06,127.73,1.33%,0.42%,49.16,26.96,54.84%,46.66%,-0.21%,60.91%,14.48%,7.05%,10.08,1.90,18.13%,31.29%,21.13%,,,0.31,0.31,85.47%,33.32%,26.50%,-0.00%,-0.10%,0.09%,0.11%,0.09%,0.22%,0.59%,0.70%,2.08%,2.10%,9.14%,4.83%,21.83%,46.48%,76.76%,30.78%,1.52,2.35,2.21%,2.41%,4.78%,10.21%,28.77%,1.50%,27.36%,1.50%,97.87%,-1.23%,1830.46%,66.87,10/16/2024 4:30:00 PM,8/13/2004,Yes,Yes,405,2.27%,0.32%,3.33,188.68,0.46,43943,796,79.50,96.53,96.84,99.14,96.84,99.04,2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,"CNSL","Consolidated Communications Holdings Inc","RUT","Communication Services","Telecom Services","USA",549.75,,,,0.50,1.87,103.14,,2.48,0.04,,,,-2.13,-0.35,-12.22%,-39.71%,-28.91%,2.00%,-4.50%,-2.35%,44.54%,1102.22,-241.62,-12.53%,-1.20%,116.17,76.14,65.54%,35.73%,0.00%,48.77%,2.32%,4.84%,8.32,3.68,-5.31%,-24.75%,-8.17%,0.72,0.72,3.29,3.32,27.53%,-4.47%,-21.92%,0.00%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,0.22%,0.22%,0.22%,3.11%,8.41%,31.44%,6.67%,0.99,0.02,0.37%,0.53%,0.24%,0.93%,4.96%,-0.22%,3.80%,-0.22%,15.71%,-84.65%,120.95%,58.92,8/6/2024 8:30:00 AM,7/22/2005,Yes,Yes,3180,0.22%,0.00%,3.00,442.82,0.30,66579,402,4.35,4.63,4.63,4.65,4.62,4.64,0.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,"CNSP","Cns Pharmaceuticals Inc","-","Healthcare","Biotechnology","USA",3.91,,,,,,2.62,,-2.97,0.05,,,,-128.91,-0.10,,,17.98%,,0.00%,,87.04%,0.00,-15.97,,,32.15,31.56,98.16%,1.81%,0.00%,0.45%,366.81%,2.15%,0.15,0.68,-358.12%,-1018.78%,,0.31,0.31,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,-1.46%,-1.22%,-1.22%,-2.33%,-3.80%,-2.80%,-4.56%,-19.96%,-88.95%,-98.83%,-99.82%,-99.81%,1.05,0.02,9.42%,7.97%,-7.55%,-17.40%,-98.86%,-56.61%,27.23%,-99.91%,27.23%,-100.00%,27.23%,30.79,08/12/2024,11/8/2019,No,Yes,5,-3.03%,1.05%,1.00,4484.25,0.13,302205,193,0.50,0.12,0.13,0.13,0.12,0.12,-2.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,"CNTA","Centessa Pharmaceuticals plc ADR","-","Healthcare","Biotechnology","United Kingdom",1821.07,,,,263.54,6.35,6.18,,2.54,2.60,,,,-1.56,-0.40,-0.72%,-7.35%,,,0.00%,,-52.67%,6.91,-157.47,-3.33%,,98.77,97.55,98.76%,13.81%,-2.41%,43.38%,27.18%,2.01%,3.29,1.96,-39.78%,-55.88%,-42.32%,13.29,13.29,0.30,0.30,86.10%,-2250.36%,-2278.02%,-0.09%,-0.12%,0.00%,0.00%,-0.06%,-0.31%,0.16%,0.37%,0.37%,-2.22%,0.06%,-2.25%,69.01%,45.87%,167.72%,102.14%,1.47,0.97,5.11%,5.99%,0.93%,12.23%,50.10%,-8.53%,76.81%,-8.53%,188.20%,-40.19%,457.71%,54.91,8/13/2024 8:30:00 AM,5/28/2021,Yes,Yes,76,-2.48%,-0.96%,1.00,594.14,0.26,78876,868,26.14,16.66,16.50,16.50,15.90,16.09,-3.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,"CNTB","Connect Biopharma Holdings Ltd ADR","-","Healthcare","Biotechnology","China",75.14,,,,,0.68,0.68,,2.00,1.99,,,,,-0.33,81.87%,100.00%,-39.81%,,0.00%,,113.37%,,,,,55.10,53.25,96.64%,3.62%,0.00%,5.39%,7.88%,0.07%,1.24,0.04,,,,12.04,12.04,0.00,0.00,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-4.66%,4.62%,-0.04%,-2.86%,6.25%,15.25%,8.80%,-21.39%,56.65%,15.25%,-0.35,0.13,11.24%,9.12%,2.79%,10.81%,0.07%,-15.00%,36.82%,-52.11%,100.68%,-95.35%,154.35%,53.26,9/5/2024 4:30:00 PM,3/19/2021,Yes,Yes,81,-2.86%,0.00%,1.00,29.02,1.07,15778,56,8.00,1.40,1.40,1.38,1.29,1.36,-2.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,"CNTM","ConnectM Technology Solutions Inc.","-","Technology","Software - Application","USA",24.87,,,,,0.00,108.13,,8425.43,0.01,,,,-1.67,,,,,,0.00%,,133.39%,0.00,-17.41,,,23.46,14.63,62.36%,37.65%,5.48%,15.94%,,2.97%,0.49,0.43,-19.65%,-0.04%,-0.02%,0.02,0.02,0.00,0.00,,0.00%,,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.67%,0.01%,2.10%,0.97%,0.96%,-4.50%,-57.43%,-90.44%,-89.71%,-90.24%,0.08,0.13,8.79%,12.27%,-3.37%,-0.08%,-86.16%,-42.39%,57.99%,-91.50%,57.99%,-91.50%,57.99%,44.79,,7/1/2022,No,Yes,3,0.96%,0.00%,,880.49,0.14,62753,205,,1.05,1.05,1.08,1.02,1.06,0.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,"CNTX","Context Therapeutics Inc","-","Healthcare","Biotechnology","USA",147.75,,,,,1.46,1.46,,1.35,1.35,,,,-1.06,-0.09,77.83%,8.27%,-26.70%,,0.00%,,86.94%,0.00,-18.57,40.03%,,75.00,59.34,79.12%,20.88%,0.00%,56.62%,,1.84%,6.07,1.09,-28.46%,-29.68%,-18.36%,64.01,64.01,0.00,0.00,,0.00%,,0.00%,0.00%,0.00%,0.97%,0.25%,0.25%,-1.01%,-1.50%,-2.48%,-2.72%,5.91%,-5.29%,-3.43%,34.93%,52.71%,74.34%,2.27,0.16,9.10%,9.28%,1.29%,-10.51%,15.50%,-28.36%,19.39%,-28.36%,155.84%,-81.88%,319.15%,48.28,8/7/2024 4:30:00 PM,10/20/2021,No,Yes,5,-1.01%,0.00%,1.00,179.33,0.66,60488,130,7.62,1.99,1.99,2.09,1.95,1.97,-1.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,"CNTY","Century Casinos Inc.","-","Consumer Cyclical","Resorts & Casinos","USA",82.07,,,,0.14,1.27,0.67,,2.10,4.02,,,,-2.63,-0.24,-142.26%,80.32%,,25.00%,26.98%,7.07%,-1999.38%,587.39,-80.15,-365.59%,-3.44%,30.36,26.16,86.17%,14.73%,0.00%,55.69%,-11.71%,0.39%,1.33,0.10,-6.97%,-76.56%,-7.48%,1.96,1.91,15.60,15.76,36.40%,10.70%,-13.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.56%,-1.09%,-0.56%,-3.78%,0.19%,12.39%,4.49%,-13.99%,-43.92%,-45.18%,2.61,0.15,6.20%,6.72%,5.89%,10.67%,-7.63%,-3.78%,37.89%,-51.23%,37.89%,-83.73%,613.33%,57.64,8/8/2024 8:30:00 AM,11/10/1993,Yes,Yes,3243,-1.29%,0.74%,1.67,76.23,0.31,11954,60,4.00,2.69,2.71,2.72,2.66,2.67,-0.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,"CNVS","Cineverse Corp","-","Communication Services","Entertainment","USA",22.31,,,,0.49,0.82,5.63,,1.73,0.25,,,,-1.56,-0.12,88.76%,35.00%,27.31%,10.00%,5.07%,-29.68%,45.32%,45.28,-21.28,-25.00%,-11.58%,15.70,12.78,81.40%,18.61%,0.00%,9.76%,0.20%,0.93%,1.13,0.12,-27.73%,-54.96%,-68.75%,0.97,0.97,0.01,0.28,54.87%,-0.83%,-47.00%,0.00%,0.00%,0.00%,0.71%,0.71%,2.17%,3.65%,2.96%,2.76%,-5.33%,10.94%,80.43%,62.75%,12.70%,25.66%,5.19%,1.71,0.14,22.83%,12.08%,31.37%,54.95%,29.58%,-18.86%,98.60%,-63.87%,98.60%,-99.95%,98.60%,71.25,8/14/2024 4:30:00 PM,11/10/2003,No,Yes,179,-6.89%,4.45%,1.00,105.41,1.42,75958,196,6.50,1.46,1.52,1.49,1.37,1.42,-2.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,"CNX","CNX Resources Corp","RUT","Energy","Oil & Gas E&P","USA",5234.45,11.87,18.16,0.29,3.79,1.23,1335.32,47.39,28.05,0.03,,,0.00%,2.92,0.32,-22.38%,29.81%,19.28%,41.60%,16.15%,3.75%,-104.86%,1379.63,547.80,23.98%,-14.47%,154.38,144.11,93.35%,4.70%,2.16%,111.98%,5.67%,22.02%,12.14,31.74,6.39%,13.31%,8.72%,0.41,0.40,0.48,0.57,27.47%,11.70%,39.71%,0.04%,-0.02%,-0.14%,-0.22%,-0.25%,-0.19%,0.80%,0.82%,1.23%,0.56%,0.18%,23.44%,33.69%,45.25%,49.38%,73.06%,1.38,0.97,3.38%,3.10%,5.38%,18.19%,40.55%,-6.35%,45.13%,-6.35%,81.50%,-65.16%,814.05%,66.60,10/24/2024 8:30:00 AM,4/26/1999,Yes,Yes,470,0.33%,-1.57%,3.50,2614.61,1.20,1598044,10381,28.64,35.05,34.50,34.87,33.92,34.61,-1.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,"CNXC","Concentrix Corp.","-","Technology","Information Technology Services","USA",3258.02,16.28,4.08,2.27,0.35,0.78,7.38,8.84,64.74,6.82,1.25,2.48%,19.78%,3.09,3.07,-2.33%,10.04%,43.54%,7.16%,27.09%,46.21%,-83.35%,9401.42,198.26,-1.14%,0.27%,65.73,46.15,70.21%,28.80%,-0.07%,68.70%,3.39%,10.82%,7.99,4.99,1.92%,5.61%,2.04%,1.57,1.57,1.33,1.39,28.88%,8.25%,2.11%,0.14%,0.01%,0.15%,0.11%,0.02%,0.27%,0.48%,0.32%,0.68%,1.54%,3.12%,-23.67%,-27.55%,-12.65%,-36.50%,-48.82%,0.64,2.28,4.60%,3.86%,-7.41%,-20.17%,-26.44%,-34.72%,10.20%,-52.63%,10.20%,-75.89%,10.20%,34.05,9/25/2024 4:30:00 PM,11/24/2020,Yes,Yes,440000,1.95%,0.16%,1.83,624.89,0.57,179901,3309,76.83,49.22,49.30,50.31,49.13,50.26,2.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,"CNXN","PC Connection, Inc.","RUT","Technology","Electronics & Computer Distribution","USA",1960.14,22.27,19.12,2.23,0.71,2.24,5.08,13.07,33.23,14.67,0.38,0.51%,10.16%,3.35,1.00,8.82%,10.95%,5.55%,10.00%,1.45%,0.40%,32.04%,2758.06,88.69,20.48%,4.69%,26.36,12.05,45.71%,54.16%,-0.29%,43.13%,0.32%,1.76%,2.11,0.21,7.25%,10.63%,10.11%,2.95,2.60,0.00,0.01,18.25%,3.80%,3.22%,-0.03%,0.04%,-0.38%,-0.00%,0.23%,0.21%,0.46%,0.41%,0.84%,1.38%,1.16%,0.31%,11.13%,19.68%,38.89%,10.93%,0.61,1.48,1.38%,2.02%,0.53%,3.88%,11.22%,-3.41%,12.08%,-3.41%,44.39%,-3.41%,3146.72%,56.05,7/31/2024 4:30:00 PM,3/3/1998,Yes,Yes,2703,1.11%,-0.27%,3.00,100.41,0.33,16799,849,76.00,73.94,73.74,74.64,73.50,74.56,0.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,"CNXT","VanEck ChiNext ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.09%,0.09%,0.05%,0.05%,0.07%,-1.05%,-1.86%,-2.00%,-23.15%,33.59%,24.37%,20.96%,7.16%,10.11%,0.42,2.56,5.60%,4.40%,-4.28%,14.68%,18.07%,-41.31%,35.60%,-41.31%,37.40%,-55.44%,44.59%,48.86,,7/24/2014,Yes,Yes,,-3.58%,-3.10%,,63.50,5.85,188772,794,,28.90,28.00,28.22,26.95,27.00,-6.56%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities","Innovation / Patent Based","China","Passive",0.65%,101,53261500,28.79,-0.06,37826000.00,245.06,37826000.00,245.06,36750500.00,222.58,36750500.00,222.58,13.92,-14.44,3.14,0.74,2.41,"China equity large-cap"
1756,"CNYA","iShares MSCI China A ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.11,3.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04%,0.07%,0.09%,0.07%,0.14%,0.14%,0.00%,-0.46%,-0.85%,-2.84%,-12.01%,18.71%,10.28%,9.73%,2.82%,10.07%,0.33,1.35,3.00%,2.00%,-3.38%,7.01%,9.48%,-25.11%,19.29%,-25.11%,23.40%,-42.49%,27.39%,48.29,,6/15/2016,Yes,Yes,,-2.00%,-2.16%,,152.37,3.78,292636,1047,,29.64,29.00,29.17,28.37,28.42,-4.12%,,,"Global or ExUS Equities - Country Specific","Equities (Stocks)","Global Ex. US Equities",,"China","Passive",0.60%,439,350446500,29.70,-0.04,45202427.70,14.81,40178755.50,12.95,121929397.65,53.36,65511688.90,22.99,11.28,-9.08,2.87,,4.16,"China equity"
1757,"COAL","Range Global Coal Index ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.43%,1.08%,13.53%,-7.62%,-0.42%,,-6.98%,,0.60,3.43%,1.54%,2.35%,5.90%,0.20%,-10.12%,21.98%,-10.74%,21.98%,-10.74%,21.98%,58.62,,1/24/2024,No,Yes,,-0.43%,-0.55%,,4.40,0.06,143,3,,23.66,23.53,23.53,23.53,23.43,-0.98%,,,"Global or ExUS Equities - Industry Sector","Equities (Stocks)","Global Equities","Energy",,"Passive",0.85%,31,11083469,23.58,-0.01,0.00,0.00,0.00,0.00,10980400.00,10653.45,10980400.00,10653.45,,,,,-8.28,"Global equity coal industrials"
1758,"COCH","Envoy Medical Inc","-","Healthcare","Medical Devices","USA",51.50,,,,171.65,,29.43,,-0.63,0.09,,,,-0.71,-0.27,51.79%,-7.19%,,,11.11%,,-255.64%,0.30,-15.10,-6.93%,-17.58%,19.60,11.99,61.17%,39.22%,0.06%,3.14%,16.41%,0.48%,1.89,0.06,-52.28%,-237.08%,,0.62,0.42,,,-215.89%,-6582.12%,-5000.99%,0.00%,0.00%,0.00%,0.00%,1.75%,1.75%,-1.14%,1.56%,0.44%,6.97%,-10.92%,-21.39%,14.47%,-56.13%,8.75%,44.15%,2.29,0.35,11.06%,11.41%,-15.46%,-12.42%,-15.81%,-34.59%,26.69%,-77.23%,249.26%,-77.73%,249.26%,41.17,8/12/2024 8:30:00 AM,4/29/2021,No,Yes,34,3.98%,2.87%,1.00,30.66,0.48,7515,66,7.19,2.44,2.51,2.97,2.50,2.61,6.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,"COCO","Vita Coco Company Inc","RUT","Consumer Defensive","Beverages - Non-Alcoholic","USA",1642.65,30.96,27.09,2.58,3.29,7.08,10.92,15.32,4.09,2.65,,,0.00%,0.93,0.26,14.43%,18.14%,47.06%,12.00%,14.92%,3.20%,5.46%,500.02,55.27,7.74%,0.02%,56.90,38.34,67.38%,32.47%,-0.72%,61.26%,4.67%,15.71%,11.56,6.02,19.44%,27.37%,23.82%,3.31,2.79,0.00,0.00,40.24%,15.58%,11.05%,0.00%,0.02%,0.00%,0.00%,0.00%,0.05%,-0.05%,-0.31%,-0.10%,0.56%,3.25%,5.31%,9.21%,20.89%,10.08%,12.79%,0.22,0.87,2.52%,3.43%,1.28%,7.76%,12.90%,-3.86%,20.09%,-7.94%,49.05%,-13.10%,291.47%,60.32,7/31/2024 8:30:00 AM,10/21/2021,Yes,Yes,294,0.66%,-0.17%,1.80,521.12,0.74,194968,2698,30.67,28.79,28.74,29.18,28.68,28.93,0.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,"COCP","Cocrystal Pharma Inc","-","Healthcare","Biotechnology","USA",18.71,,,,,1.08,1.03,,1.71,1.79,,,,-1.76,-0.57,-3.74%,-13.75%,-1.25%,,-33.86%,,-26.89%,0.00,-17.93,-11.18%,,10.17,7.11,69.91%,30.16%,0.00%,6.63%,-6.52%,0.84%,3.61,0.06,-61.98%,-68.86%,-94.76%,7.41,7.41,0.09,0.10,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,-0.54%,1.38%,3.37%,6.07%,-18.58%,26.03%,0.00%,6.84%,1.45,0.10,4.99%,6.06%,4.50%,3.63%,1.24%,-15.21%,15.00%,-40.65%,38.87%,-99.91%,38.87%,56.09,8/14/2024 8:30:00 AM,4/1/2008,No,Yes,12,4.55%,-1.68%,1.00,16.58,0.33,2761,32,8.00,1.79,1.76,1.82,1.79,1.84,2.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,"CODA","Coda Octopus Group Inc.","-","Industrials","Aerospace & Defense","USA",93.86,31.61,19.49,,4.99,1.77,3.72,,4.72,2.25,,,0.00%,0.27,0.07,32.14%,16.22%,-11.00%,,3.35%,11.98%,22.37%,18.82,3.00,10.00%,1.06%,11.12,5.53,49.73%,50.59%,0.00%,19.39%,-3.69%,1.88%,3.71,0.10,5.56%,5.84%,5.68%,15.14,10.82,0.00,0.00,66.81%,15.79%,15.93%,0.00%,-0.31%,-0.31%,-0.53%,0.00%,-0.59%,-0.00%,-0.83%,1.21%,0.36%,3.97%,12.79%,25.45%,34.51%,27.74%,39.20%,0.55,0.26,4.14%,3.53%,10.60%,14.28%,28.95%,0.60%,23.24%,0.60%,60.84%,-65.20%,59757.14%,69.74,9/16/2024 8:30:00 AM,10/20/2003,No,Yes,83,0.36%,1.71%,1.00,27.95,2.56,36281,144,9.00,8.21,8.35,8.44,8.19,8.38,2.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,
