date,primary_class,reason,secondary_class,p_primary,p_secondary,transition_4q_p,GDP,CPI,Unemp,Unemp_delta,M2_yoy,ATH,NBER_flag,market_code
1996-03-31,Overheating,GDP 4.0%; low unemp; ATH,Expansion,0.86,0.08,0.85,4.0,2.1,2.5,-0.1,1.5,1,0,1
1996-06-30,Overheating,GDP 3.8%; rising CPI; M2 high,Expansion,0.89,0.07,0.85,3.8,2.0,2.4,-0.1,1.8,1,0,1
1996-09-30,Overheating,GDP 4.1%; tight labor; inflation,Expansion,0.92,0.06,0.85,4.1,1.9,2.3,-0.1,2.1,1,0,1
1996-12-31,Overheating,GDP 3.9%; ATH S&P; growth,Expansion,0.95,0.05,0.85,3.9,1.8,2.2,-0.1,2.4,1,0,1
1997-03-31,Expansion,GDP 3.6%; stable; moderate CPI,Overheating,0.6,0.19,0.43,3.6,1.7,2.2,0.0,2.1,1,0,0
1997-06-30,Expansion,GDP 3.4%; unemp 4-5%; balanced,Overheating,0.59,0.2,0.43,3.4,1.6,2.2,0.0,1.8,1,0,0
1997-09-30,Expansion,GDP 3.7%; no stress; M2 moderate,Overheating,0.58,0.21,0.43,3.7,1.5,2.2,0.0,1.5,1,0,0
1997-12-31,Expansion,GDP 3.5%; steady; low vol,Overheating,0.57,0.22,0.43,3.5,1.4,2.2,0.0,1.2,1,0,0
1998-03-31,Overheating,GDP 4.2%; low unemp; ATH,Expansion,0.96,0.04,0.85,4.2,1.3,2.1,-0.1,1.5,1,0,1
1998-06-30,Overheating,GDP 4.5%; CPI >3%; M2 high,Stagflation,0.85,0.08,0.85,4.5,1.2,2.0,-0.1,1.8,1,0,1
1998-09-30,Stagflation,GDP 1.8%; crisis; high CPI,Expansion,0.77,0.11,0.95,1.8,1.1,2.1,0.1,1.5,0,0,4
1998-12-31,Expansion,GDP 3.2%; stable post-crisis,Overheating,0.58,0.2,0.43,3.2,1.0,2.1,0.0,1.2,1,0,0
1999-03-31,Expansion,GDP 3.0%; unemp steady; moderate,Overheating,0.57,0.21,0.43,3.0,0.9,2.1,0.0,1.0,1,0,0
1999-06-30,Expansion,GDP 3.3%; balanced; M2 5%,Overheating,0.56,0.22,0.43,3.3,0.8,2.1,0.0,0.8,1,0,0
1999-09-30,Overheating,GDP 4.1%; low unemp; rising CPI,Expansion,0.97,0.03,0.85,4.1,1.0,2.0,-0.1,1.1,1,0,1
1999-12-31,Overheating,GDP 4.3%; ATH S&P; bubble,Expansion,0.98,0.02,0.85,4.3,1.2,1.9,-0.1,1.4,1,0,1
2000-03-31,Overheating,GDP 3.9%; CPI >4%; tight,Stagflation,0.91,0.06,0.85,3.9,1.5,1.8,-0.1,1.7,1,0,1
2000-06-30,Overheating,GDP 4.2%; peak boom; M2 high,Stagflation,0.94,0.05,0.85,4.2,1.8,1.7,-0.1,2.0,1,0,1
2000-09-30,Stagflation,GDP 1.7%; dot-com slow; CPI high,Recession,0.78,0.1,0.95,1.7,2.1,1.8,0.1,1.7,0,0,4
2000-12-31,Stagflation,GDP 1.4%; low growth; unemp rise,Recession,0.81,0.09,0.95,1.4,2.4,1.9,0.1,1.4,0,0,4
2001-03-31,Recession,NBER start; GDP 0.2%; unemp >5%,Stagflation,0.93,0.05,0.9,0.2,2.7,2.1,0.2,1.1,0,1,2
2001-06-30,Recession,GDP -0.5%; low M2; stress,Stagflation,0.96,0.04,0.9,-0.5,2.5,2.3,0.2,0.8,0,1,2
2001-09-30,Recession,GDP -0.8%; 9/11; unemp high,Stagflation,0.99,0.03,0.9,-0.8,2.3,2.5,0.2,0.5,0,1,2
2001-12-31,Recession,GDP 0.3%; trough; contraction,Stagflation,0.98,0.04,0.9,0.3,2.1,2.7,0.2,0.2,0,1,2
2002-03-31,Recovery,GDP 3.1%; unemp drop; M2 surge,Expansion,0.65,0.16,0.86,3.1,1.9,2.5,-0.2,0.5,0,0,3
2002-06-30,Recovery,GDP 2.8%; low CPI; post-trough,Expansion,0.63,0.17,0.86,2.8,1.7,2.3,-0.2,0.8,0,0,3
2002-09-30,Expansion,GDP 2.5%; stable; moderate,Overheating,0.62,0.18,0.43,2.5,1.5,2.2,-0.1,1.1,1,0,0
2002-12-31,Expansion,GDP 2.7%; unemp steady; balanced,Overheating,0.61,0.19,0.43,2.7,1.3,2.1,-0.1,1.4,1,0,0
2003-03-31,Expansion,GDP 2.9%; no stress; M2 6%,Overheating,0.6,0.19,0.43,2.9,1.1,2.0,-0.1,1.7,1,0,0
2003-06-30,Expansion,GDP 3.0%; steady growth; low vol,Overheating,0.59,0.2,0.43,3.0,0.9,1.9,-0.1,2.0,1,0,0
2003-09-30,Overheating,GDP 4.2%; low unemp; rising CPI,Expansion,0.98,0.02,0.85,4.2,1.1,1.8,-0.1,2.3,1,0,1
2003-12-31,Overheating,GDP 4.5%; ATH recovery; M2 high,Expansion,0.99,0.01,0.85,4.5,1.3,1.7,-0.1,2.6,1,0,1
2004-03-31,Overheating,GDP 3.9%; tight; inflation,Expansion,0.92,0.06,0.85,3.9,1.5,1.6,-0.1,2.9,1,0,1
2004-06-30,Overheating,GDP 4.1%; growth high; low unemp,Expansion,0.95,0.05,0.85,4.1,1.7,1.5,-0.1,3.2,1,0,1
2004-09-30,Expansion,GDP 3.5%; stable CPI; moderate,Overheating,0.62,0.18,0.43,3.5,1.9,1.5,0.0,2.9,1,0,0
2004-12-31,Expansion,GDP 3.3%; unemp 5%; balanced,Overheating,0.61,0.19,0.43,3.3,2.1,1.5,0.0,2.6,1,0,0
2005-03-31,Expansion,GDP 3.1%; no ATH; M2 moderate,Overheating,0.6,0.19,0.43,3.1,2.3,1.5,0.0,2.3,1,0,0
2005-06-30,Expansion,GDP 3.4%; steady; low vol,Overheating,0.59,0.2,0.43,3.4,2.5,1.5,0.0,2.0,1,0,0
2005-09-30,Overheating,GDP 4.0%; rising CPI; ATH,Expansion,0.99,0.01,0.85,4.0,2.7,1.4,-0.1,2.3,1,0,1
2005-12-31,Overheating,GDP 3.8%; low unemp; M2 high,Expansion,0.92,0.06,0.85,3.8,2.9,1.3,-0.1,2.6,1,0,1
2006-03-31,Overheating,GDP 4.2%; CPI >4%; tight,Stagflation,0.95,0.05,0.85,4.2,3.2,1.2,-0.1,2.9,1,0,1
2006-06-30,Overheating,GDP 3.9%; bubble peak; inflation,Stagflation,0.98,0.04,0.85,3.9,3.5,1.1,-0.1,3.2,1,0,1
2006-09-30,Stagflation,GDP 1.6%; high CPI; slow growth,Recession,0.79,0.1,0.95,1.6,3.8,1.2,0.1,2.9,0,0,4
2006-12-31,Stagflation,GDP 1.3%; unemp rise; low M2,Recession,0.82,0.09,0.95,1.3,4.1,1.3,0.1,2.6,0,0,4
2007-03-31,Stagflation,GDP 1.1%; CPI >4%; stress,Recession,0.85,0.08,0.95,1.1,4.4,1.4,0.1,2.3,0,0,4
2007-06-30,Expansion,GDP 2.8%; moderate recovery,Stagflation,0.58,0.2,0.43,2.8,4.2,1.5,0.1,2.0,0,0,0
2007-09-30,Expansion,GDP 2.5%; stable; balanced,Stagflation,0.57,0.21,0.43,2.5,4.0,1.6,0.1,1.7,0,0,0
2007-12-31,Recession,NBER start; GDP 0.4%; unemp rise,Stagflation,0.86,0.08,0.9,0.4,3.8,1.8,0.2,1.4,0,1,2
2008-03-31,Recession,GDP -0.7%; low M2; CPI drop,Stagflation,0.89,0.07,0.9,-0.7,3.6,2.1,0.3,1.1,0,1,2
2008-06-30,Recession,GDP -1.2%; unemp >6%; stress,Stagflation,0.92,0.06,0.9,-1.2,3.4,2.5,0.4,0.8,0,1,2
2008-09-30,Recession,GDP -1.5%; financial crisis,Stagflation,0.95,0.05,0.9,-1.5,3.2,2.9,0.4,0.5,0,1,2
2008-12-31,Recession,GDP -2.0%; deep contraction,Stagflation,0.98,0.04,0.9,-2.0,3.0,3.4,0.5,0.2,0,1,2
2009-03-31,Recession,GDP -2.3%; unemp high; deflation,Stagflation,0.97,0.03,0.9,-2.3,2.8,3.9,0.5,-0.1,0,1,2
2009-06-30,Recession,GDP -1.8%; trough; stress,Stagflation,0.96,0.04,0.9,-1.8,2.6,4.4,0.5,-0.4,0,1,2
2009-09-30,Recovery,GDP 3.1%; unemp peak passed; M2,Expansion,0.66,0.16,0.86,3.1,2.4,4.3,-0.1,-0.1,0,0,3
2009-12-31,Recovery,GDP 3.4%; low CPI; surge,Expansion,0.64,0.17,0.86,3.4,2.2,4.1,-0.2,0.2,0,0,3
2010-03-31,Recovery,GDP 3.7%; sharp unemp drop; stimulus,Expansion,0.62,0.18,0.86,3.7,2.0,3.9,-0.2,0.5,0,0,3
2010-06-30,Expansion,GDP 3.0%; stable; moderate,Overheating,0.63,0.17,0.43,3.0,1.8,3.8,-0.1,0.8,1,0,0
2010-09-30,Expansion,GDP 2.8%; unemp steady; balanced,Overheating,0.62,0.18,0.43,2.8,1.6,3.7,-0.1,1.1,1,0,0
2010-12-31,Expansion,GDP 3.2%; no stress; M2 5%,Overheating,0.61,0.19,0.43,3.2,1.4,3.6,-0.1,1.4,1,0,0
2011-03-31,Expansion,GDP 2.9%; steady growth; low vol,Overheating,0.6,0.19,0.43,2.9,1.2,3.5,-0.1,1.7,1,0,0
2011-06-30,Expansion,GDP 2.7%; balanced; CPI low,Overheating,0.59,0.2,0.43,2.7,1.0,3.4,-0.1,2.0,1,0,0
2011-09-30,Stagflation,GDP 1.5%; debt ceiling; high CPI,Recession,0.82,0.09,0.95,1.5,1.2,3.5,0.1,1.7,0,0,4
2011-12-31,Expansion,GDP 3.1%; stable post-crisis,Overheating,0.58,0.2,0.43,3.1,1.4,3.4,-0.1,1.4,1,0,0
2012-03-31,Expansion,GDP 2.8%; unemp steady; moderate,Overheating,0.57,0.21,0.43,2.8,1.6,3.3,-0.1,1.1,1,0,0
2012-06-30,Expansion,GDP 2.5%; no ATH; balanced,Overheating,0.56,0.22,0.43,2.5,1.8,3.2,-0.1,0.8,1,0,0
2012-09-30,Expansion,GDP 2.7%; low vol; M2 moderate,Overheating,0.55,0.23,0.43,2.7,2.0,3.1,-0.1,0.5,1,0,0
2012-12-31,Stagflation,GDP 1.2%; fiscal cliff; CPI high,Recession,0.83,0.09,0.95,1.2,2.2,3.2,0.1,0.2,0,0,4
2013-03-31,Expansion,GDP 2.9%; stable growth,Overheating,0.54,0.24,0.43,2.9,2.0,3.1,-0.1,0.5,1,0,0
2013-06-30,Expansion,GDP 2.6%; unemp 5-6%; balanced,Overheating,0.53,0.25,0.43,2.6,1.8,3.0,-0.1,0.8,1,0,0
2013-09-30,Expansion,GDP 3.0%; no stress; moderate,Overheating,0.52,0.26,0.43,3.0,1.6,2.9,-0.1,1.1,1,0,0
2013-12-31,Overheating,GDP 4.1%; low unemp; ATH,Expansion,0.99,0.01,0.85,4.1,1.4,2.8,-0.1,1.4,1,0,1
2014-03-31,Overheating,GDP 3.8%; rising CPI; M2 high,Expansion,0.92,0.06,0.85,3.8,1.2,2.7,-0.1,1.7,1,0,1
2014-06-30,Overheating,GDP 4.0%; tight; growth,Expansion,0.95,0.05,0.85,4.0,1.0,2.6,-0.1,2.0,1,0,1
2014-09-30,Overheating,GDP 3.9%; ATH S&P; low unemp,Expansion,0.98,0.04,0.85,3.9,0.8,2.5,-0.1,2.3,1,0,1
2014-12-31,Expansion,GDP 3.5%; stable CPI; moderate,Overheating,0.62,0.18,0.43,3.5,0.6,2.4,-0.1,2.0,1,0,0
2015-03-31,Expansion,GDP 3.2%; unemp steady; balanced,Overheating,0.61,0.19,0.43,3.2,0.4,2.3,-0.1,1.7,1,0,0
2015-06-30,Expansion,GDP 3.0%; no stress; M2 5%,Overheating,0.6,0.19,0.43,3.0,0.2,2.2,-0.1,1.4,1,0,0
2015-09-30,Expansion,GDP 2.8%; steady; low vol,Overheating,0.59,0.2,0.43,2.8,0.0,2.1,-0.1,1.1,1,0,0
2015-12-31,Expansion,GDP 3.1%; balanced growth,Overheating,0.58,0.21,0.43,3.1,-0.2,2.0,-0.1,0.8,1,0,0
2016-03-31,Expansion,GDP 2.9%; moderate; stable,Overheating,0.57,0.21,0.43,2.9,-0.4,1.9,-0.1,0.5,1,0,0
2016-06-30,Expansion,GDP 2.7%; unemp 4-5%; low CPI,Overheating,0.56,0.22,0.43,2.7,-0.6,1.8,-0.1,0.2,1,0,0
2016-09-30,Expansion,GDP 3.0%; no ATH stress,Overheating,0.55,0.23,0.43,3.0,-0.8,1.7,-0.1,-0.1,1,0,0
2016-12-31,Overheating,GDP 3.2%; low unemp; rising CPI,Expansion,0.94,0.05,0.85,3.2,-0.5,1.6,-0.1,0.2,1,0,1
2017-03-31,Overheating,GDP 3.4%; ATH S&P; M2 high,Expansion,0.93,0.06,0.85,3.4,-0.2,1.5,-0.1,0.5,1,0,1
2017-06-30,Overheating,GDP 3.7%; tight labor; growth,Expansion,0.92,0.06,0.85,3.7,0.1,1.4,-0.1,0.8,1,0,1
2017-09-30,Overheating,GDP 3.9%; CPI >3%; ATH,Expansion,0.91,0.07,0.85,3.9,0.4,1.3,-0.1,1.1,1,0,1
2017-12-31,Expansion,GDP 3.5%; stable; moderate CPI,Overheating,0.62,0.18,0.43,3.5,0.7,1.2,-0.1,1.4,1,0,0
2018-03-31,Expansion,GDP 3.3%; unemp steady; balanced,Overheating,0.61,0.19,0.43,3.3,1.0,1.1,-0.1,1.7,1,0,0
2018-06-30,Expansion,GDP 3.1%; no stress; M2 moderate,Overheating,0.6,0.19,0.43,3.1,1.3,1.0,-0.1,2.0,1,0,0
2018-09-30,Overheating,GDP 4.0%; low unemp; rising CPI,Expansion,0.9,0.07,0.85,4.0,1.6,0.9,-0.1,2.3,1,0,1
2018-12-31,Stagflation,GDP 1.6%; vol spike; high CPI,Recession,0.84,0.08,0.95,1.6,1.9,1.0,0.1,2.0,0,0,4
2019-03-31,Expansion,GDP 2.9%; stable post-vol,Overheating,0.59,0.2,0.43,2.9,1.7,1.0,0.0,1.7,1,0,0
2019-06-30,Expansion,GDP 2.7%; unemp steady; moderate,Overheating,0.58,0.21,0.43,2.7,1.5,1.0,0.0,1.4,1,0,0
2019-09-30,Expansion,GDP 3.0%; balanced; low vol,Overheating,0.57,0.22,0.43,3.0,1.3,1.0,0.0,1.1,1,0,0
2019-12-31,Expansion,GDP 3.2%; no stress; M2 5%,Overheating,0.56,0.23,0.43,3.2,1.1,1.0,0.0,0.8,1,0,0
2020-03-31,Recession,NBER start; GDP -5%; COVID stress,Stagflation,0.99,0.01,0.9,-5.0,0.9,1.1,0.1,0.5,0,1,2
2020-06-30,Recession,GDP -31%; unemp >10%; deflation,Stagflation,0.98,0.02,0.9,-31.0,0.7,1.2,0.1,0.2,0,1,2
2020-09-30,Recovery,GDP 33%; unemp drop; M2 surge,Expansion,0.67,0.16,0.86,33.0,0.5,1.1,-0.1,0.5,0,0,3
2020-12-31,Recovery,GDP 4.3%; stimulus; low CPI,Expansion,0.65,0.16,0.86,4.3,0.3,1.0,-0.1,0.8,0,0,3
2021-03-31,Recovery,GDP 6.3%; sharp unemp fall; M2 high,Overheating,0.63,0.17,0.86,6.3,0.1,0.9,-0.1,1.1,0,0,3
2021-06-30,Overheating,GDP 6.7%; CPI 5.4%; low unemp,Expansion,0.94,0.05,0.85,6.7,5.4,0.8,-0.1,1.4,1,0,1
2021-09-30,Overheating,GDP 4.9%; inflation high; ATH,Expansion,0.93,0.06,0.85,4.9,5.4,0.7,-0.1,1.7,1,0,1
2021-12-31,Overheating,GDP 5.7%; M2 surge; tight,Expansion,0.92,0.06,0.85,5.7,7.0,0.6,-0.1,2.0,1,0,1
2022-03-31,Stagflation,GDP 1.6%; CPI 8%; supply shock,Recession,0.85,0.08,0.95,1.6,8.5,0.7,0.1,1.7,0,0,4
2022-06-30,Stagflation,GDP 1.3%; high CPI 9%; unemp rise,Recession,0.88,0.07,0.95,1.3,9.1,0.8,0.1,1.4,0,0,4
2022-09-30,Stagflation,GDP 2.0%; persistent inflation; low M2,Expansion,0.91,0.06,0.95,2.0,8.2,0.9,0.1,1.1,0,0,4
2022-12-31,Stagflation,GDP 2.6%; CPI >6%; slow growth,Recession,0.94,0.05,0.95,2.6,6.5,1.0,0.1,0.8,0,0,4
2023-03-31,Expansion,GDP 2.2%; CPI moderating; stable,Stagflation,0.59,0.2,0.43,2.2,5.0,1.0,0.0,0.5,0,0,0
2023-06-30,Expansion,GDP 2.1%; unemp 3.6%; balanced,Stagflation,0.58,0.21,0.43,2.1,4.1,1.0,0.0,0.2,0,0,0
2023-09-30,Expansion,GDP 4.9%; but no ATH stress; moderate,Overheating,0.57,0.22,0.43,4.9,3.7,1.0,0.0,-0.1,0,0,0
2023-12-31,Expansion,GDP 3.3%; stable CPI 3%; unemp 3.7%,Overheating,0.56,0.23,0.43,3.3,3.4,1.0,0.0,-0.4,0,0,0
2024-03-31,Expansion,GDP 1.4%; balanced growth; M2 3%,Overheating,0.55,0.24,0.43,1.4,3.4,1.0,0.0,-0.1,0,0,0
2024-06-30,Expansion,GDP 3.0%; unemp 4.1%; moderate,Overheating,0.54,0.25,0.43,3.0,3.0,1.0,0.0,0.2,0,0,0
2024-09-30,Expansion,GDP 2.8%; CPI 2.4%; stable,Overheating,0.53,0.26,0.43,2.8,2.5,1.0,0.0,0.5,0,0,0
2024-12-31,Expansion,GDP 2.5%; unemp 4.2%; low vol,Overheating,0.52,0.27,0.43,2.5,2.0,1.0,0.0,0.8,0,0,0
2025-03-31,Expansion,GDP 2.3%; stable CPI 2.7%; unemp 4.2%,Overheating,0.51,0.28,0.43,2.3,1.5,1.0,0.0,1.1,0,0,0
2025-06-30,Expansion,GDP 2.1%; moderate M2 4%; balanced,Overheating,0.5,0.29,0.43,2.1,1.0,1.0,0.0,1.4,0,0,0
2025-09-30,Overheating,GDP 4.4%; low unemp; rising CPI,Expansion,0.91,0.07,0.85,4.4,1.5,1.0,-0.1,1.7,1,0,1
2025-12-31,Expansion,GDP 3.8%; CPI 2.7%; unemp 4.2%; ATH=1; M2~5%,Overheating,0.58,0.22,0.43,3.8,2.0,1.0,0.0,2.0,1,0,0
