"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
2917,"EZM","WisdomTree U.S. MidCap Fund","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.77,1.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.10%,0.11%,0.15%,0.29%,0.74%,0.64%,2.83%,-2.76%,-0.98%,5.54%,11.56%,4.27%,1.22,1.10,1.07%,1.72%,0.22%,1.88%,4.89%,-5.19%,7.61%,-5.19%,27.63%,-5.19%,752.83%,53.69,,2/23/2007,Yes,Yes,,0.64%,1.52%,,25.33,0.52,6347,53,,58.57,59.46,59.67,59.27,59.84,2.17%,,,"US Equities - Dividend & Fundamental","Equities (Stocks)","US Equities",,"US","Passive",0.38%,543,763500096,58.51,0.02,-6027326.40,-0.78,-20379630.20,-2.60,-58621512.85,-7.13,-69318791.30,-8.32,9.31,4.32,10.90,8.65,8.96,"U.S. equity quality mid-cap fundamental-weight"
2918,"EZPW","EZCorp, Inc.","-","Financial","Credit Services","USA",628.63,11.07,9.22,0.32,0.55,0.78,2.77,8.34,14.64,4.15,,,0.00%,1.04,0.26,22.83%,10.18%,-3.85%,35.00%,5.99%,10.01%,16.96%,1137.53,78.15,6.98%,0.67%,51.87,49.70,95.82%,9.20%,-0.57%,110.31%,1.50%,15.84%,16.37,7.87,5.27%,10.15%,6.44%,2.59,1.99,0.52,0.76,55.66%,9.38%,6.87%,-0.05%,-0.10%,-0.10%,-0.10%,-0.10%,0.08%,-0.05%,-0.01%,0.21%,1.18%,1.27%,12.04%,12.48%,6.83%,30.06%,31.40%,1.00,0.34,2.51%,3.19%,7.31%,10.40%,16.28%,-2.26%,18.94%,-2.26%,49.24%,-70.29%,5149.83%,66.69,7/31/2024 4:30:00 PM,8/27/1991,Yes,Yes,7500,-0.05%,1.23%,1.00,480.67,0.36,82555,877,17.00,11.35,11.49,11.58,11.43,11.48,1.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2919,"EZU","iShares MSCI EMU ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.39,2.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,-0.01%,0.01%,0.00%,0.06%,0.06%,0.04%,0.19%,0.40%,1.01%,3.48%,-0.95%,-6.28%,4.66%,10.70%,4.33%,1.08,0.72,1.11%,1.16%,1.89%,0.06%,2.19%,-6.04%,7.55%,-6.30%,23.29%,-22.06%,176.07%,55.83,,7/31/2000,Yes,Yes,,0.58%,0.88%,,2087.69,0.27,269153,1088,,48.78,49.21,49.50,49.19,49.49,1.47%,,,"Global or ExUS Equities - Broad / Regional","Equities (Stocks)","Global Ex. US Equities",,"Eurozone","Passive",0.51%,232,7501055836,48.80,0.01,-98051773.00,-1.29,48626106.10,0.65,190807430.00,2.61,-753496461.80,-9.13,10.72,1.57,8.12,4.99,3.47,"Europe Eurozone equity mid-large-cap"
2920,"F","Ford Motor Co.","S&P 500","Consumer Cyclical","Auto Manufacturers","USA",41620.87,11.01,5.46,,0.23,0.96,1.20,7.89,10.96,8.70,0.68,6.49%,116.20%,0.95,0.49,-6.51%,1.97%,3.18%,-2.35%,2.68%,6.35%,-4.05%,180348.00,3836.00,0.00%,0.00%,3902.77,3894.63,99.79%,2.03%,-0.10%,57.12%,0.47%,2.72%,1.83,105.75,1.41%,8.79%,2.64%,1.17,1.00,2.34,3.51,8.06%,2.18%,2.13%,-0.05%,-0.14%,-0.14%,0.10%,-0.05%,0.05%,0.05%,0.22%,-0.19%,2.75%,3.36%,-27.69%,-14.95%,-15.43%,-11.33%,-12.86%,1.63,0.39,3.01%,3.30%,-7.16%,-13.28%,-11.61%,-29.49%,10.33%,-29.49%,10.33%,-69.10%,1193.31%,38.85,7/24/2024 4:30:00 PM,6/1/1972,Yes,Yes,177000,0.72%,2.11%,2.56,57810.53,0.73,20182662,34787,13.41,10.18,10.40,10.50,10.39,10.47,2.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2921,"FA","First Advantage Corp.","RUT","Industrials","Specialty Business Services","USA",2544.67,103.49,16.90,17.25,3.36,2.78,9.44,19.13,6.28,1.85,,,0.00%,0.17,0.25,-7.96%,12.49%,3.28%,6.00%,13.40%,-0.41%,-80.98%,756.89,24.54,-0.28%,-0.06%,145.07,50.27,34.65%,65.42%,-0.03%,38.68%,1.16%,10.87%,13.32,5.47,1.41%,2.44%,1.66%,4.31,4.31,0.62,0.62,31.50%,11.05%,3.24%,-0.05%,0.00%,-0.06%,-0.02%,-0.06%,0.11%,0.14%,0.23%,0.81%,0.63%,1.92%,6.19%,7.03%,2.22%,27.34%,5.61%,1.14,0.47,3.76%,2.91%,3.19%,6.28%,9.43%,0.34%,14.53%,0.06%,40.45%,-21.43%,92.96%,62.42,8/8/2024 8:30:00 AM,6/23/2021,Yes,Yes,5000,0.63%,0.69%,1.75,410.31,0.42,82020,833,19.33,17.27,17.39,17.59,17.36,17.50,1.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2922,"FAAR","First Trust Alternative Absolute Return Strategy ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.92,3.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,-0.04%,-0.04%,-0.04%,0.02%,0.04%,-0.07%,0.19%,0.14%,-0.56%,1.10%,0.49%,0.90%,4.39%,0.07,0.18,0.58%,0.56%,0.11%,0.19%,0.95%,-0.80%,2.00%,-4.83%,5.35%,-24.74%,49.95%,51.57,,5/23/2016,No,Yes,,0.28%,0.21%,,25.11,1.16,13977,30,,28.41,28.47,28.61,28.44,28.55,0.49%,,,"Commodities & Metals - Diversified Commodities","Commodities & Metals","Global Commodities & Metals",,,"Active",1.01%,36,138031056,28.46,0.00,15684000.00,12.82,14250000.00,11.51,-25734512.60,-15.71,-37151512.60,-21.21,3.09,4.23,5.66,,2.33,"commodity futures long-short"
2923,"FAAS","DigiAsia Corp.","-","Technology","Software - Infrastructure","Singapore",15.07,,,,,0.80,150.73,,1.76,0.01,,,,-0.01,,,,,,0.00%,,-208.00%,0.00,-0.06,,,10.69,3.22,30.12%,69.86%,0.00%,20.10%,1.68%,0.85%,0.79,0.03,-0.05%,-0.06%,-0.49%,0.02,0.02,0.00,0.23,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.70%,-4.41%,-3.42%,1.44%,2.17%,-56.48%,-84.00%,-84.84%,-86.69%,-87.41%,0.08,0.46,18.39%,22.98%,-33.70%,-68.52%,-83.20%,-85.13%,17.50%,-89.92%,17.50%,-89.92%,17.50%,24.93,,9/14/2021,No,Yes,2,-0.70%,1.43%,,34.49,0.56,9182,49,,1.40,1.42,1.50,1.41,1.41,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,"FAB","First Trust Multi Cap Value AlphaDEX Fund","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.54,1.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.03%,0.60%,0.26%,1.88%,-2.77%,-0.26%,7.12%,11.87%,4.68%,1.20,1.10,0.62%,0.97%,-0.32%,1.73%,5.04%,-5.14%,5.61%,-5.14%,24.64%,-5.14%,640.62%,53.20,,5/11/2007,Yes,Yes,,0.53%,1.17%,,7.04,0.29,976,19,,80.32,81.26,81.69,81.19,81.69,1.70%,,,"US Equities - US Style","Equities (Stocks)","US Equities",,"US","Passive",0.64%,675,140525160,80.30,0.02,0.00,0.00,-16086000.00,-10.27,-27882826.50,-16.56,-42494326.50,-23.22,10.14,5.16,11.86,7.57,7.59,"U.S. equity value"
2925,"FAD","First Trust Multi Cap Growth AlphaDEX Fund","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.31,0.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.26%,0.15%,0.38%,0.42%,3.61%,-0.39%,1.29%,7.32%,21.36%,12.53%,1.11,1.90,0.81%,1.11%,2.07%,2.33%,8.27%,-2.62%,9.41%,-2.62%,36.16%,-3.92%,765.27%,57.32,,5/10/2007,Yes,No,,0.55%,1.26%,,4.08,2.08,4070,25,,124.08,125.64,126.16,126.02,126.33,1.82%,,,"US Equities - US Style","Equities (Stocks)","US Equities",,"US","Passive",0.64%,677,204649748,124.03,0.02,0.00,0.00,12126000.00,6.30,11526000.00,5.97,1626000.00,0.80,18.33,1.34,11.45,10.99,9.00,"U.S. equity growth"
2926,"FAF","First American Financial Corp","-","Financial","Insurance - Specialty","USA",6378.91,33.16,12.65,,1.12,1.33,,22.68,46.69,,2.14,3.45%,101.32%,1.87,1.11,77.39%,33.44%,-13.13%,-7.65%,2.73%,-17.07%,-16.09%,5700.80,195.10,-1.18%,-0.75%,103.10,98.03,95.08%,4.69%,0.00%,88.14%,-3.11%,1.51%,2.36,1.48,1.26%,4.07%,3.02%,1.75,,0.34,0.34,,2.43%,3.42%,-0.00%,-0.00%,0.05%,0.12%,0.12%,0.25%,0.29%,0.29%,0.76%,0.47%,3.05%,5.87%,8.90%,5.65%,-1.79%,-3.79%,1.30,1.34,1.58%,2.44%,4.33%,10.24%,7.42%,0.58%,19.57%,-5.41%,25.12%,-23.97%,489.89%,72.04,7/24/2024 4:30:00 PM,5/24/2010,Yes,Yes,19210,0.61%,0.87%,1.88,625.78,0.86,259047,1995,66.05,61.09,61.62,62.21,61.19,62.00,1.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2927,"FAIL","Cambria Global Tail Risk ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.77,4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.31%,4.26%,2.59%,-5.52%,-9.75%,-5.80%,-0.09,0.12,0.04%,0.28%,1.71%,2.93%,-1.92%,-2.61%,5.29%,-12.60%,5.48%,-41.67%,5.48%,60.77,,2/23/2016,No,No,,0.00%,0.00%,,1.53,0.00,0,0,,17.02,17.02,17.02,17.02,17.02,0.00%,,,"Target Date / Multi-Asset - Other","Multi-Asset - Conservative","Global Diversified",,,"Active",0.71%,13,2538750,16.93,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-920690.00,-26.61,-5.75,-7.74,-6.10,,-1.75,"Global bonds treasuries TIPS"
2928,"FALN","iShares Fallen Angels USD Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.58,5.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02%,-0.00%,-0.00%,-0.01%,0.00%,0.00%,0.06%,0.07%,0.07%,-0.52%,1.05%,0.79%,1.05%,1.66%,6.71%,1.86%,0.56,0.12,0.25%,0.42%,0.97%,1.53%,2.21%,0.04%,3.46%,-0.09%,11.48%,-11.66%,38.11%,65.59,,6/17/2016,Yes,Yes,,0.00%,0.07%,,674.89,0.51,163501,466,,26.87,26.89,26.90,26.85,26.89,0.07%,,,"Bonds - Corporate","Bonds","US Bonds",,"US","Passive",0.25%,184,1699507777,26.76,0.00,11882415.15,0.70,-19199093.10,-1.12,137999162.95,8.84,325884593.05,23.72,13.12,1.59,5.59,,6.57,"U.S. fixed-income corporate-bonds bonds"
2929,"FAM","First Trust-abrdn Global Opportunity Income Fund","-","Financial","Closed-End Fund - Debt","USA",64.66,7.08,,,10.93,0.92,,,6.92,,0.72,11.29%,,0.90,,,,,,,9.80%,72.30%,5.92,,,,10.14,8.06,79.45%,20.55%,0.00%,55.13%,,0.44%,1.06,0.04,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.24%,-0.08%,0.55%,-0.70%,-1.01%,2.33%,5.37%,1.35%,0.79,0.08,1.04%,1.20%,-0.12%,-0.03%,1.50%,-2.22%,4.00%,-4.42%,18.60%,-67.25%,22.32%,49.96,,11/24/2004,No,Yes,,0.24%,0.16%,,33.52,2.06,33113,76,,6.35,6.36,6.38,6.35,6.38,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930,"FAMI","Farmmi Inc","-","Consumer Defensive","Packaged Foods","China",3.50,2.67,,,0.04,0.02,3.12,,23.83,0.18,,,0.00%,0.21,,,,-47.02%,,39.53%,-39.81%,20.96%,86.26,1.59,,,6.29,6.24,99.21%,0.76%,0.00%,0.51%,-72.99%,0.64%,0.63,0.04,0.92%,0.98%,0.97%,21.81,3.45,0.00,0.04,4.95%,2.67%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.23%,0.67%,2.21%,0.09%,-0.89%,-4.30%,-23.83%,-58.81%,-82.41%,-55.16%,1.28,0.03,4.07%,4.85%,-2.35%,-12.59%,-40.76%,-35.35%,6.92%,-83.02%,6.92%,-99.97%,6.92%,43.64,,2/16/2018,No,Yes,56,1.61%,0.76%,,63.39,0.40,12289,54,,0.54,0.55,0.56,0.54,0.56,2.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2931,"FAN","First Trust Global Wind Energy ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.27,1.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06%,0.06%,0.15%,0.15%,0.17%,0.24%,0.29%,0.35%,0.48%,-0.47%,1.49%,2.10%,-1.34%,13.24%,6.95%,3.09%,0.91,0.27,1.01%,1.25%,1.87%,1.40%,7.67%,-3.74%,6.19%,-3.74%,28.61%,-46.06%,211.74%,55.65,,6/18/2008,Yes,Yes,,0.15%,0.50%,,43.40,0.61,12751,96,,16.88,16.97,16.99,16.88,16.99,0.65%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Equities","Green Investing",,"Passive",0.60%,63,190912533,16.97,0.00,-4236500.00,-2.17,-11694000.00,-5.77,-30946856.60,-13.95,-43643856.60,-18.61,5.98,-6.41,7.54,5.86,-1.83,"Global equity energy wind"
2932,"FANG","Diamondback Energy Inc","NDX, S&P 500","Energy","Oil & Gas E&P","USA",35241.84,10.21,9.70,1.26,3.80,2.02,5.10,10.79,97.81,38.74,8.29,4.20%,46.08%,19.35,4.82,6.50%,6.13%,16.56%,8.10%,44.77%,29.39%,52.52%,9278.00,3456.00,0.48%,13.18%,178.72,177.47,99.30%,0.52%,-16.90%,94.06%,-0.34%,2.97%,3.90,5.27,10.93%,20.94%,11.74%,3.66,3.64,0.69,0.69,55.04%,52.11%,37.25%,-0.01%,0.05%,0.02%,0.01%,0.13%,0.21%,0.29%,0.37%,0.94%,1.35%,0.77%,-5.65%,1.16%,19.19%,39.57%,30.55%,1.89,5.41,2.37%,2.73%,0.48%,0.51%,11.14%,-7.22%,10.80%,-7.22%,43.79%,-7.22%,1401.38%,51.17,8/5/2024 4:30:00 PM,10/12/2012,Yes,Yes,1023,1.25%,0.06%,1.63,1350.09,0.66,424870,7298,225.54,195.01,195.12,197.53,194.48,197.55,1.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2933,"FANH","Fanhua Inc ADR","-","Financial","Insurance Brokers","China",78.26,1.91,,0.25,0.17,0.27,0.37,6.26,5.14,3.73,,,0.00%,0.72,,,,-12.49%,7.68%,-1.54%,-23.61%,-137.61%,448.69,38.92,,,56.71,46.20,81.47%,18.53%,0.00%,5.24%,-6.66%,0.56%,0.92,0.26,7.64%,14.77%,12.90%,,,0.03,0.14,32.93%,9.22%,8.67%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.72%,0.00%,0.00%,-1.43%,0.73%,-1.43%,-5.48%,-60.46%,-74.59%,-78.87%,-79.25%,0.03,0.13,9.01%,8.42%,-7.60%,-29.35%,-69.04%,-58.64%,6.98%,-82.22%,6.98%,-96.39%,6.98%,36.24,3/20/2024 8:30:00 AM,10/31/2007,Yes,Yes,4664,1.47%,0.00%,3.00,282.88,0.39,52373,139,5.99,1.36,1.36,1.41,1.34,1.38,1.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,"FAPR","FT Vest U.S. Equity Buffer ETF - April","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.05%,0.24%,0.04%,2.53%,0.26%,3.39%,10.23%,20.20%,13.12%,0.62,0.35,0.60%,0.76%,1.71%,1.43%,8.41%,-0.41%,5.46%,-0.41%,26.47%,-0.41%,45.83%,60.25,,4/19/2021,No,Yes,,0.04%,0.73%,,40.11,0.35,6686,13,,39.24,39.52,39.55,39.45,39.54,0.76%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.85%,6,670149078,39.19,0.01,16494000.00,2.52,88586250.00,15.23,64408734.90,10.63,195694984.90,41.25,18.71,7.73,,,8.39,"U.S. options SP500 buffer upside-cap fixed-period"
2935,"FARM","Farmer Bros. Co.","-","Consumer Defensive","Packaged Foods","USA",52.94,,,,0.15,1.23,9.29,,2.03,0.27,,,,-2.30,-0.27,94.18%,-146.81%,-29.45%,30.00%,-12.35%,-31.29%,94.37%,342.19,-46.06,81.25%,-3.55%,20.14,16.86,83.71%,20.72%,0.00%,41.28%,1.39%,0.34%,1.15,0.06,-6.40%,-27.59%,-54.55%,1.42,0.65,0.96,1.28,38.93%,-4.20%,-13.46%,0.00%,0.00%,0.00%,0.40%,0.00%,-1.97%,-0.80%,-0.80%,-4.96%,-0.80%,-0.40%,-15.31%,-18.36%,-30.64%,-5.32%,-18.63%,1.80,0.16,6.10%,6.01%,-6.20%,-8.48%,-19.09%,-19.68%,8.26%,-38.37%,38.33%,-93.68%,42.29%,42.97,5/9/2024 4:30:00 PM,3/17/1980,Yes,Yes,993,-1.97%,1.20%,1.00,49.54,0.96,22718,208,6.00,2.51,2.54,2.62,2.48,2.49,-0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2936,"FARO","Faro Technologies Inc.","RUT","Technology","Scientific & Technical Instruments","USA",318.97,,18.07,,0.91,1.24,3.26,15.28,13.22,5.02,,,,-0.80,0.03,561.54%,50.83%,,30.00%,-1.70%,-6.94%,98.18%,351.98,-14.96,1700.00%,-79.51%,18.97,18.67,98.42%,4.23%,-7.29%,100.38%,-2.31%,9.33%,12.04,1.74,-3.04%,-5.67%,-4.45%,2.30,1.98,0.31,0.33,51.50%,-1.31%,-4.25%,0.08%,0.08%,-0.08%,-0.02%,0.23%,0.51%,0.29%,1.47%,1.57%,4.52%,13.51%,-7.69%,-14.85%,-26.58%,-4.57%,-27.40%,1.25,0.72,4.66%,4.45%,1.83%,-1.31%,-14.60%,-13.73%,20.99%,-34.04%,32.55%,-83.29%,1443.13%,53.32,8/8/2024 4:30:00 PM,9/18/1997,Yes,Yes,1243,2.23%,3.23%,1.00,144.67,0.76,52755,838,24.50,15.50,16.00,16.37,16.00,16.36,5.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2937,"FAS","Direxion Daily Financial Bull 3x Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.31,1.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16%,0.06%,-0.04%,0.06%,0.12%,0.23%,0.36%,0.20%,0.97%,1.70%,9.43%,-4.10%,5.40%,28.18%,78.34%,40.94%,3.15,5.03,3.44%,4.32%,4.83%,8.93%,24.02%,-5.80%,22.11%,-5.80%,139.05%,-25.24%,7130.41%,58.53,,11/6/2008,Yes,Yes,,0.09%,3.18%,,663.20,0.73,232673,1756,,112.80,116.39,117.70,114.76,116.49,3.27%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Financials","US","Passive",0.94%,84,2303985432,112.94,0.03,-59628028.88,-2.52,-110532576.15,-4.58,-382595365.02,-14.24,-547625669.22,-19.20,65.97,-2.45,11.30,17.76,8.47,"U.S. equity financial leverage"
2938,"FAST","Fastenal Co.","NDX, S&P 500","Industrials","Industrial Distribution","USA",38287.38,33.29,30.41,5.26,5.16,10.95,149.85,33.42,6.10,0.45,1.52,2.28%,69.45%,2.01,0.52,1.03%,7.73%,9.01%,6.33%,8.22%,1.76%,-2.00%,7415.80,1152.30,0.16%,0.08%,571.98,571.51,99.92%,0.20%,-3.18%,82.92%,-0.62%,2.43%,4.27,13.89,25.10%,33.51%,30.29%,4.39,2.29,0.09,0.15,43.26%,20.47%,15.54%,0.02%,-0.01%,-0.06%,0.06%,-0.03%,0.01%,-0.03%,-0.31%,0.12%,-0.55%,1.04%,-4.47%,-0.18%,-4.66%,16.91%,3.23%,1.01,1.50,1.76%,2.34%,-1.29%,1.75%,-0.16%,-6.78%,8.96%,-15.41%,24.98%,-15.41%,133800.21%,50.47,7/12/2024 8:30:00 AM,8/20/1987,Yes,Yes,23201,0.15%,0.74%,3.13,3249.65,0.26,403324,5817,65.00,66.27,66.76,67.41,66.64,66.86,0.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2939,"FAT","FAT Brands Inc","-","Consumer Cyclical","Restaurants","USA",88.45,,,,0.15,,1.56,,-22.39,3.33,0.56,10.77%,,-8.07,-1.62,-93.34%,18.97%,-105.28%,,164.68%,42.41%,-360.64%,572.01,-136.00,-33.56%,-1.59%,15.63,4.62,29.56%,72.82%,0.03%,7.67%,-2.83%,0.77%,1.33,0.04,-10.00%,,-13.12%,0.37,0.34,,,29.92%,0.72%,-23.78%,-1.90%,-1.90%,0.19%,0.19%,0.19%,-2.40%,-2.62%,0.19%,-4.41%,1.56%,-2.99%,-0.38%,-5.80%,-43.42%,-30.01%,-14.19%,2.02,0.26,4.12%,4.58%,-2.61%,-0.83%,-20.31%,-13.19%,15.30%,-45.12%,15.30%,-63.88%,629.78%,46.36,7/31/2024 4:30:00 PM,10/23/2017,No,Yes,7390,-2.44%,-3.44%,1.00,26.53,4.19,53220,263,20.00,5.52,5.33,5.45,5.12,5.20,-5.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940,"FATE","Fate Therapeutics Inc","RUT","Healthcare","Biotechnology","USA",380.91,,,,30.92,0.96,1.25,,3.49,2.68,,,,-1.71,-0.43,-2.51%,0.24%,-6.65%,,87.14%,625.83%,38.99%,12.32,-175.72,28.80%,410.52%,98.63,96.47,97.81%,15.25%,-0.02%,97.62%,-2.32%,14.30%,6.54,13.80,-31.56%,-42.10%,-35.80%,9.18,9.18,0.24,0.25,-55.61%,-1587.28%,-1426.67%,0.04%,0.41%,0.19%,0.34%,0.19%,0.13%,-0.41%,-1.58%,0.94%,-1.87%,-7.56%,-24.97%,-21.08%,-48.44%,14.21%,-10.53%,1.91,0.42,10.31%,11.20%,-25.22%,-15.10%,-25.52%,-43.47%,10.62%,-62.10%,105.29%,-97.24%,129.20%,36.47,8/13/2024 4:30:00 PM,10/1/2013,Yes,Yes,181,-2.44%,4.89%,2.56,2109.73,0.57,574726,3044,6.64,3.27,3.43,3.45,3.27,3.35,2.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,"FAUG","FT Vest U.S. Equity Buffer ETF - August","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,-0.01%,-0.01%,0.10%,-0.12%,-0.06%,-0.03%,0.64%,0.55%,2.38%,6.57%,15.98%,9.59%,0.63,0.22,0.31%,0.40%,0.64%,0.91%,5.98%,-0.08%,3.28%,-0.08%,22.61%,-0.08%,84.58%,59.15,,11/7/2019,No,Yes,,-0.03%,-0.02%,,31.06,1.39,20648,20,,44.55,44.54,44.68,44.51,44.53,-0.06%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.85%,6,634552589,44.53,-0.00,10281250.00,1.65,8045000.00,1.28,9822382.93,1.57,-471436867.07,-42.63,14.76,6.30,,,8.51,"U.S. options SP500 buffer upside-cap fixed-period"
2942,"FAX","abrdn Asia-Pacific Income Fund Inc","-","Financial","Closed-End Fund - Debt","USA",699.89,47.09,,,9.83,0.98,,,2.89,,0.33,11.68%,106.65%,0.06,,,,,,,1.80%,-51.40%,71.23,,,,247.70,247.70,100.00%,,,37.34%,,0.05%,0.16,0.14,,,,,,,,,,,0.00%,0.00%,0.00%,-0.16%,-0.16%,0.02%,-0.13%,0.04%,-0.02%,0.56%,0.91%,0.20%,6.63%,5.43%,6.63%,4.27%,0.67,0.04,0.97%,1.74%,1.37%,3.52%,5.52%,-1.20%,8.26%,-1.20%,21.27%,-75.30%,25.03%,59.10,,4/17/1986,No,Yes,,0.56%,-0.35%,,835.24,0.74,297784,194,,2.82,2.81,2.83,2.81,2.83,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2943,"FAZ","Direxion Daily Financial Bear 3x Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.55,6.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12%,-0.02%,0.04%,-0.11%,-0.13%,-0.30%,-0.34%,-0.23%,-1.01%,-1.77%,-8.67%,1.79%,-9.40%,-27.48%,-50.91%,-34.32%,-2.60,0.45,3.61%,4.34%,-6.14%,-10.86%,-26.91%,-21.42%,3.57%,-62.22%,3.57%,-100.00%,3.57%,39.96,,11/6/2008,Yes,Yes,,0.09%,-3.24%,,3543.18,1.70,2880576,2073,,9.27,8.97,9.12,8.88,8.98,-3.15%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Financials","US","Passive",1.08%,9,107564050,9.27,-0.03,1153518.71,1.08,-3603644.19,-3.24,23597561.20,28.10,47914144.84,80.33,-44.12,-23.53,-49.91,-43.29,-54.22,"U.S. equity financial leverage inverse"
